time_iso8601,stars_cumulative
2023-03-03 00:00:00+00:00,1045
2023-03-05 00:00:00+00:00,1047
2023-03-07 00:00:00+00:00,1049
2023-03-09 00:00:00+00:00,1050
2023-03-10 00:00:00+00:00,1052
2023-03-11 00:00:00+00:00,1054
2023-03-12 00:00:00+00:00,1055
2023-03-13 00:00:00+00:00,1057
2023-03-14 00:00:00+00:00,1058
2023-03-15 00:00:00+00:00,1061
2023-03-16 00:00:00+00:00,1062
2023-03-17 00:00:00+00:00,1064
2023-03-18 00:00:00+00:00,1065
2023-03-19 00:00:00+00:00,1066
2023-03-20 00:00:00+00:00,1071
2023-03-22 00:00:00+00:00,1072
2023-03-26 00:00:00+00:00,1074
2023-03-28 00:00:00+00:00,1075
2023-03-29 00:00:00+00:00,1078
2023-03-30 00:00:00+00:00,1079
2023-03-31 00:00:00+00:00,1089
2023-04-01 00:00:00+00:00,1091
2023-04-02 00:00:00+00:00,1092
2023-04-03 00:00:00+00:00,1095
2023-04-04 00:00:00+00:00,1096
2023-04-05 00:00:00+00:00,1098
2023-04-07 00:00:00+00:00,1100
2023-04-11 00:00:00+00:00,1101
2023-04-13 00:00:00+00:00,1102
2023-04-14 00:00:00+00:00,1103
2023-04-15 00:00:00+00:00,1104
2023-04-16 00:00:00+00:00,1105
2023-04-17 00:00:00+00:00,1106
2023-04-18 00:00:00+00:00,1107
2023-04-19 00:00:00+00:00,1109
2023-04-27 00:00:00+00:00,1110
2023-04-29 00:00:00+00:00,1111
2023-05-02 00:00:00+00:00,1113
2023-05-04 00:00:00+00:00,1115
2023-05-05 00:00:00+00:00,1116
2023-05-06 00:00:00+00:00,1118
2023-05-07 00:00:00+00:00,1119
2023-05-08 00:00:00+00:00,1120
2023-05-09 00:00:00+00:00,1121
